product_id,title,price,sales,feedbacks,seller,seller_rating,Процессор,Оперативная память,Жесткий диск,Видеопроцессор,Операционная система,Гарантийный срок,Страна производства,Габариты товара,Габариты товара (с упаковкой)
19399933,Игровой Компьютер Robotcomp ТУ 160 V1,93863₽,Купили более 5 раз, 3 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3050,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '37 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '48 см', 'Ширина упаковки': '29 см', 'Высота упаковки': '45 см', 'Вес с упаковкой (кг)': '8 кг'}"
19684231,Игровой Компьютер Robotcomp ТУ 160 V3,102703₽,Купили более 5 раз, 2 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3050,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '37 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '48 см', 'Ширина упаковки': '29 см', 'Высота упаковки': '45 см', 'Вес с упаковкой (кг)': '8 кг'}"
19877489,Игровой Компьютер Robotcomp ТУ 160 V2,98470₽,Купили более 5 раз, 6 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3050,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '37 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '48 см', 'Ширина упаковки': '29 см', 'Высота упаковки': '45 см', 'Вес с упаковкой (кг)': '8 кг'}"
19877489,Игровой Компьютер Robotcomp ТУ 160 V2,98470₽,Купили более 5 раз, 6 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3050,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '37 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '48 см', 'Ширина упаковки': '29 см', 'Высота упаковки': '45 см', 'Вес с упаковкой (кг)': '8 кг'}"
19881219,Игровой Компьютер Robotcomp M-16 V2,54943₽,Купили более 10 раз, 3 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19882151,Игровой Компьютер Robotcomp M-16 V3,65926₽,Купили более 20 раз, 4 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19882370,Игровой Компьютер Robotcomp M1620 V2,66234₽,Купили более 20 раз, 17 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce GTX 1660,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19882754,Игровой Компьютер Robotcomp M1620 V3,71829₽,Купили более 50 раз, 25 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce GTX 1660,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19882754,Игровой Компьютер Robotcomp M1620 V3,71829₽,Купили более 50 раз, 25 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce GTX 1660,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '44 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '24 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19883377,Офисный Компьютер Robotcomp Казначей V2,44743₽,Купили более 10 раз, 1 отзыв,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",Intel UHD Graphics 630,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '28 см', 'Глубина предмета': '58 см', 'Высота предмета': '58 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '60 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '60 см', 'Вес с упаковкой (кг)': '8 кг'}"
19883950,Офисный Компьютер Robotcomp Казначей V3,51075₽,Купили более 10 раз, 4 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",Intel UHD Graphics 630,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '28 см', 'Глубина предмета': '58 см', 'Высота предмета': '58 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '60 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '60 см', 'Вес с упаковкой (кг)': '8 кг'}"
19888985,Мощный ПК Robotcomp Анаконда 2.0 V2,135189₽,Купили менее 5 раз, 0 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3070,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
19889318,Мощный ПК Robotcomp Анаконда 2.0 V3,139743₽,Купили более 5 раз, 1 отзыв,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '960 Гб'}",NVIDIA GeForce RTX 3070,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
19889760,Офисный Компьютер Robotcomp Босс V2,30132₽,Купили более 30 раз, 8 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i3', 'Количество ядер процессора': '4'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",Intel UHD Graphics 630,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '47 см', 'Ширина упаковки': '23 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
19889960,Офисный Компьютер Robotcomp Босс V3,34317₽,Купили более 40 раз, 12 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i3', 'Количество ядер процессора': '4'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",Intel UHD Graphics 630,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '43 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '47 см', 'Ширина упаковки': '23 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
19890670,Игровой Компьютер Robotcomp F22 Raptor V2,52794₽,Купили более 20 раз, 5 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i3', 'Количество ядер процессора': '4'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16 ГБ'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '39 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '46 см', 'Ширина упаковки': '26 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
19890870,Игровой Компьютер Robotcomp F22 Raptor V3,57815₽,Купили менее 5 раз, 0 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i3', 'Количество ядер процессора': '4'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16 ГБ'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",NVIDIA GeForce GTX 1650,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '39 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '46 см', 'Ширина упаковки': '26 см', 'Высота упаковки': '50 см', 'Вес с упаковкой (кг)': '8 кг'}"
20904018,Игровой Компьютер Robotcomp Аллигатор V2,32617₽,Купили более 400 раз, 101 отзыв,Robotcomp,4.7,"{'Процессор_тип': 'AMD Ryzen 5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",AMD Radeon Vega 7,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '25 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
20904019,Игровой Компьютер Robotcomp Аллигатор V3,34017₽,Купили более 500 раз, 128 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'AMD Ryzen 5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '16'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '480 ГБ'}",AMD Radeon Vega 7,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '25 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
21001520,Игровой Компьютер Robotcomp Аллигатор 3.0 V1,40694₽,Купили более 200 раз, 54 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'AMD Ryzen 5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': '1000 Гб', 'Объем накопителя SSD': '512 Гб'}",AMD Radeon Vega 7,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '25 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
21002727,Игровой Компьютер Robotcomp Аллигатор 3.0 V2,40971₽,Купили более 100 раз, 42 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'AMD Ryzen 5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': '1000 Гб', 'Объем накопителя SSD': '512 Гб'}",AMD Radeon Vega 7,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '25 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
21011648,Игровой Компьютер Robotcomp Аллигатор 3.0 V3,47827₽,Купили более 200 раз, 84 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'AMD Ryzen 5', 'Количество ядер процессора': '6'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': '1000 Гб', 'Объем накопителя SSD': '512 Гб'}",AMD Radeon Vega 7,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '40 см', 'Высота предмета': '45 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '50 см', 'Ширина упаковки': '25 см', 'Высота упаковки': '44 см', 'Вес с упаковкой (кг)': '8 кг'}"
21127144,Мощный Игровой Компьютер Robotcomp Анаконда 3.0 V1,153861₽,Купили более 10 раз, 4 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '2 Тб'}",NVIDIA GeForce RTX 3080,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
21128147,Мощный Игровой Компьютер Robotcomp Анаконда 3.0 V2,160066₽,Купили более 5 раз, 0 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '2 Тб'}",NVIDIA GeForce RTX 3080,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
21128147,Мощный Игровой Компьютер Robotcomp Анаконда 3.0 V2,160066₽,Купили более 5 раз, 0 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '2 Тб'}",NVIDIA GeForce RTX 3080,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
21128494,Мощный Игровой Компьютер Robotcomp Анаконда 3.0 V3,165484₽,Купили менее 5 раз, 0 отзывов,Robotcomp,4.7,"{'Процессор_тип': 'Intel Core i5', 'Количество ядер процессора': '10'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '32'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '2 Тб'}",NVIDIA GeForce RTX 3080,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '21 см', 'Глубина предмета': '45 см', 'Высота предмета': '46 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '57 см', 'Ширина упаковки': '30 см', 'Высота упаковки': '53 см', 'Вес с упаковкой (кг)': '8 кг'}"
21135021,Офисный Компьютер Robotcomp Секретарь V1,21355₽,Купили более 20 раз, 4 отзыва,Robotcomp,4.7,"{'Процессор_тип': 'AMD Athlon', 'Количество ядер процессора': '2'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '240 Гб'}",AMD Radeon Vega 3,windows пробная,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '34 см', 'Высота предмета': '39 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '44 см', 'Ширина упаковки': '26 см', 'Высота упаковки': '41 см', 'Вес с упаковкой (кг)': '8 кг'}"
21135358,Офисный Компьютер Robotcomp Секретарь V2,29482₽,Купили менее 5 раз, 1 отзыв,Robotcomp,4.7,"{'Процессор_тип': 'AMD Athlon', 'Количество ядер процессора': '2'}","{'Тип оперативной памяти': 'DDR 4', 'Объем оперативной памяти (Гб)': '8'}","{'Объем накопителя HDD': None, 'Объем накопителя SSD': '240 Гб'}",AMD Radeon Vega 3,Windows 10 Pro,3 Года (36 месяцев),Россия,"{'Ширина предмета': '20 см', 'Глубина предмета': '34 см', 'Высота предмета': '39 см', 'Вес без упаковки (кг)': '7 кг'}","{'Длина упаковки': '44 см', 'Ширина упаковки': '26 см', 'Высота упаковки': '41 см', 'Вес с упаковкой (кг)': '8 кг'}"
